scenario,seed,method,mae,coverage,gross_error_rate,apnea_false_output,step_latency
clean,28,consensus,0.025171740028537202,1.0,0.0,nan,nan
clean,28,hybrid,0.040440727449757574,1.0,0.0,nan,nan
clean,29,threshold,0.07519398274079823,1.0,0.0,nan,nan
clean,29,consensus,0.024402861249575216,1.0,0.0,nan,nan
clean,29,hybrid,0.05086207085684682,1.0,0.0,nan,nan
low_amplitude,0,threshold,0.30569833504512334,1.0,0.0,nan,nan
low_amplitude,0,consensus,0.09136046288392903,1.0,0.0,nan,nan
low_amplitude,0,hybrid,0.191190242885681,1.0,0.0,nan,nan
low_amplitude,1,threshold,0.2372627467820773,1.0,0.0,nan,nan
low_amplitude,1,consensus,0.11549035301104249,1.0,0.0,nan,nan
low_amplitude,1,hybrid,0.17338123729508567,1.0,0.0,nan,nan
low_amplitude,2,threshold,0.4319687525650994,1.0,0.0,nan,nan
low_amplitude,2,consensus,0.09730302193997578,1.0,0.0,nan,nan
low_amplitude,2,hybrid,0.2169660706423851,1.0,0.0,nan,nan
low_amplitude,3,threshold,0.5818061094661686,1.0,0.0,nan,nan
low_amplitude,3,consensus,0.11615239594999774,1.0,0.0,nan,nan
low_amplitude,3,hybrid,0.26095105592974444,0.9733333333333334,0.0,nan,nan
low_amplitude,4,threshold,0.46583189282702286,1.0,0.0,nan,nan
low_amplitude,4,consensus,0.07089932943664284,1.0,0.0,nan,nan
low_amplitude,4,hybrid,0.24907157890600254,1.0,0.0,nan,nan
low_amplitude,5,threshold,0.31612482092595556,1.0,0.0,nan,nan
low_amplitude,5,consensus,0.09493319588737793,1.0,0.0,nan,nan
low_amplitude,5,hybrid,0.19667666422679905,1.0,0.0,nan,nan
low_amplitude,6,threshold,0.17807166779508105,1.0,0.0,nan,nan
low_amplitude,6,consensus,0.0781711091143038,0.9933333333333333,0.0,nan,nan
low_amplitude,6,hybrid,0.1016968078815531,1.0,0.0,nan,nan
low_amplitude,7,threshold,0.7279302586406048,1.0,0.0,nan,nan
low_amplitude,7,consensus,0.08944686555771648,1.0,0.0,nan,nan
low_amplitude,7,hybrid,0.3212746294639607,1.0,0.0,nan,nan
low_amplitude,8,threshold,0.2544502102152179,1.0,0.0,nan,nan
low_amplitude,8,consensus,0.1040302521757029,1.0,0.0,nan,nan
low_amplitude,8,hybrid,0.16893616606687445,1.0,0.0,nan,nan
low_amplitude,9,threshold,0.48924400387223366,1.0,0.0,nan,nan
low_amplitude,9,consensus,0.0956656591761785,1.0,0.0,nan,nan
low_amplitude,9,hybrid,0.284387131246813,1.0,0.0,nan,nan
low_amplitude,10,threshold,0.3538543202360225,1.0,0.0,nan,nan
low_amplitude,10,consensus,0.09913664713261515,1.0,0.0,nan,nan
low_amplitude,10,hybrid,0.1831956839090341,1.0,0.0,nan,nan
low_amplitude,11,threshold,0.4165438186856653,1.0,0.0,nan,nan
low_amplitude,11,consensus,0.1097633003277483,0.9933333333333333,0.0,nan,nan
low_amplitude,11,hybrid,0.25300092696067994,0.9933333333333333,0.0,nan,nan
low_amplitude,12,threshold,0.31885393543762114,1.0,0.0,nan,nan
low_amplitude,12,consensus,0.09124081126851663,1.0,0.0,nan,nan
low_amplitude,12,hybrid,0.16362249047781272,1.0,0.0,nan,nan
low_amplitude,13,threshold,0.510832447604547,1.0,0.0,nan,nan
